East,North,dist
43.33333333333337,66.66666666666666,710.0
48.33333333333337,66.66666666666666,715.0
53.33333333333337,66.66666666666666,720.0
58.33333333333337,66.66666666666666,725.0
63.33333333333337,66.66666666666666,730.0
68.33333333333337,66.66666666666666,735.0
73.33333333333337,66.66666666666666,740.0
78.33333333333337,66.66666666666666,745.0
83.33333333333337,66.66666666666666,750.0
88.33333333333337,66.66666666666666,755.0
93.33333333333337,66.66666666666666,760.0
98.33333333333337,66.66666666666666,765.0
100.0,70.00000000000004,770.0
100.0,75.00000000000006,775.0
97.77777777777771,77.77777777777777,780.0
92.77777777777771,77.77777777777777,785.0
87.77777777777771,77.77777777777777,790.0
82.77777777777771,77.77777777777777,795.0
77.77777777777771,77.77777777777777,800.0
72.77777777777771,77.77777777777777,805.0
67.77777777777771,77.77777777777777,810.0
62.777777777777715,77.77777777777777,815.0
57.777777777777715,77.77777777777777,820.0
52.777777777777715,77.77777777777777,825.0
47.777777777777715,77.77777777777777,830.0
42.777777777777715,77.77777777777777,835.0
37.777777777777715,77.77777777777777,840.0
32.777777777777715,77.77777777777777,845.0
27.777777777777715,77.77777777777777,850.0
22.777777777777715,77.77777777777777,855.0
17.777777777777715,77.77777777777777,860.0
12.777777777777715,77.77777777777777,865.0
7.777777777777715,77.77777777777777,870.0
2.7777777777777146,77.77777777777777,875.0
0.0,80.00000000000006,880.0
0.0,85.00000000000007,885.0
1.1111111111111995,88.88888888888889,890.0
6.1111111111111995,88.88888888888889,895.0
11.1111111111112,88.88888888888889,900.0
16.1111111111112,88.88888888888889,905.0
21.1111111111112,88.88888888888889,910.0
26.1111111111112,88.88888888888889,915.0
31.1111111111112,88.88888888888889,920.0
36.1111111111112,88.88888888888889,925.0
41.1111111111112,88.88888888888889,930.0
46.1111111111112,88.88888888888889,935.0
51.1111111111112,88.88888888888889,940.0
56.1111111111112,88.88888888888889,945.0
61.1111111111112,88.88888888888889,950.0
66.1111111111112,88.88888888888889,955.0
71.1111111111112,88.88888888888889,960.0
76.1111111111112,88.88888888888889,965.0
81.1111111111112,88.88888888888889,970.0
86.1111111111112,88.88888888888889,975.0
91.1111111111112,88.88888888888889,980.0
96.1111111111112,88.88888888888889,985.0
100.0,90.00000000000009,990.0
100.0,95.0000000000001,995.0
99.99999999999989,100.0,1000.0
94.99999999999989,100.0,1005.0
89.9999999999999,100.0,1010.0
84.9999999999999,100.0,1015.0
79.99999999999991,100.0,1020.0
74.99999999999991,100.0,1025.0
69.99999999999991,100.0,1030.0
64.99999999999991,100.0,1035.0
59.99999999999993,100.0,1040.0
54.999999999999936,100.0,1045.0
49.99999999999994,100.0,1050.0
44.99999999999995,100.0,1055.0
39.99999999999995,100.0,1060.0
34.99999999999996,100.0,1065.0
29.999999999999957,100.0,1070.0
24.99999999999997,100.0,1075.0
19.99999999999997,100.0,1080.0
14.999999999999986,100.0,1085.0
9.999999999999986,100.0,1090.0
4.999999999999986,100.0,1095.0
0.0,100.0,1100.0
