,SeqNr,Long,Lat,East,North,RealT,LiveT,Dist(m),ROI_A,ROI_A(sd),ROI_B,ROI_B(sd),ROI_C,ROI_C(sd),ROI_PL,ROI_PL(sd),ROI_PR,ROI_PR(sd),ROI_P,ROI_P(sd),ROI_BR,ROI_BR(sd),ROI_K,ROI_K(sd),ROI_U,ROI_U(sd),ROI_T,ROI_T(sd)
11179,11180,14.0015342,55.8172081,1386936.2,6189052.5,1.0,1.01,55895,783.09,27.81,414.43,20.23,191.51,13.75,65.52,8.04,81.95,9.0,151.45,12.23,67.8,8.18,105.55,10.21,10.25,3.18,4.62,2.14
11180,11181,14.0015798,55.8171713,1386939.0,6189048.3,1.0,1.02,55900,798.02,27.98,402.99,19.89,193.21,13.77,65.24,8.0,77.67,8.73,146.7,12.0,69.02,8.23,115.35,10.64,8.4,2.87,5.02,2.22
11181,11182,14.001625,55.8171343,1386941.7,6189044.1,1.0,1.02,55905,818.99,28.35,403.11,19.89,195.59,13.86,66.89,8.1,82.72,9.01,157.0,12.41,67.16,8.12,114.36,10.6,7.5,2.71,7.59,2.73
11182,11183,14.00167,55.8170973,1386944.4,6189039.9,1.0,1.01,55910,842.91,28.86,417.99,20.32,199.36,14.04,70.25,8.33,96.15,9.75,179.87,13.33,63.14,7.9,103.46,10.11,7.83,2.78,11.53,3.38
11183,11184,14.0017153,55.8170603,1386947.1,6189035.7,1.0,1.0,55915,866.08,29.39,442.32,21.0,204.59,14.28,73.86,8.58,109.09,10.43,201.24,14.17,60.17,7.75,92.81,9.62,9.22,3.03,14.57,3.81
11184,11185,14.0017611,55.8170235,1386949.9,6189031.5,1.0,1.0,55920,884.99,29.8,470.42,21.73,211.21,14.56,76.32,8.75,112.94,10.65,207.61,14.43,61.29,7.84,92.14,9.62,11.47,3.39,14.55,3.82
11185,11186,14.0018071,55.8169868,1386952.7,6189027.4,1.0,0.99,55925,899.19,30.06,495.49,22.32,217.75,14.79,77.58,8.83,107.03,10.37,198.91,14.14,66.09,8.15,100.74,10.06,13.95,3.75,12.01,3.47
11186,11187,14.0018525,55.8169498,1386955.4,6189023.2,1.0,1.0,55930,910.56,30.21,509.89,22.6,221.7,14.9,78.57,8.87,96.54,9.84,184.99,13.62,71.57,8.47,110.18,10.51,15.73,3.97,9.43,3.07
11187,11188,14.0018964,55.8169123,1386958.1,6189018.9,1.0,1.01,55935,920.9,30.26,506.96,22.45,220.75,14.82,80.17,8.93,86.51,9.28,175.29,13.2,74.9,8.63,112.56,10.58,15.94,3.98,9.11,3.01
11188,11189,14.0019392,55.8168745,1386960.6,6189014.7,1.0,1.01,55940,930.72,30.29,491.21,22.0,215.15,14.56,82.22,9.0,78.81,8.81,171.44,13.0,75.79,8.64,108.3,10.33,14.68,3.8,10.63,3.24
