SeqNr,Long,Lat,East,North,RealT,LiveT,Dist(m),ROI_A,ROI_A(sd),ROI_B,ROI_B(sd),ROI_C,ROI_C(sd),ROI_PL,ROI_PL(sd),ROI_PR,ROI_PR(sd),ROI_P,ROI_P(sd),ROI_BR,ROI_BR(sd),ROI_K,ROI_K(sd),ROI_U,ROI_U(sd),ROI_T,ROI_T(sd)
11581,14.0249804,55.8059152,1388373.4,6187757.3,1,1.01,57900,881.96,29.59,443.36,20.98,167.51,12.9,63.28,7.93,42.5,6.5,113.03,10.59,70.22,8.35,118.2,10.83,11.7,3.41,8.02,2.82
11582,14.0250317,55.8058808,1388376.5,6187753.4,1,1.02,57905,874.74,29.28,442.68,20.83,174.76,13.09,62.44,7.82,39.22,6.2,109.1,10.34,74.13,8.52,121.28,10.9,11.4,3.34,13.61,3.65
11583,14.0250822,55.8058461,1388379.6,6187749.4,1,1.02,57910,857.47,28.93,442.16,20.78,183.98,13.4,62.81,7.83,34.84,5.83,105.18,10.13,79.63,8.82,123.09,10.96,11.52,3.35,19.67,4.38
11584,14.0251315,55.8058108,1388382.6,6187745.4,1,1.02,57915,830.19,28.58,440.5,20.82,187.09,13.57,64.26,7.95,31.67,5.58,104.01,10.12,82.84,9.03,121.71,10.94,11.87,3.42,21.34,4.58
11585,14.0251793,55.8057748,1388385.5,6187741.3,1,1,57920,795.93,28.23,436.82,20.91,181.12,13.47,66.28,8.15,30.86,5.56,106.47,10.33,82.26,9.08,116.51,10.8,12.24,3.5,16.89,4.11
11586,14.0252254,55.8057382,1388388.2,6187737.2,1,0.98,57925,762.81,27.86,430.92,20.94,171.91,13.23,67.68,8.3,31.57,5.67,110.15,10.59,80.54,9.05,109.13,10.54,12.42,3.55,9.99,3.19
11587,14.0252696,55.8057008,1388390.9,6187733,1,0.98,57930,739.48,27.46,422.71,20.76,166.15,13.02,67.21,8.28,32.74,5.78,112.29,10.7,80.78,9.08,101.44,10.17,12.2,3.53,4.84,2.22
11588,14.025312,55.8056628,1388393.5,6187728.6,1,1,57935,732.06,27.08,412.68,20.33,167.84,12.97,64.08,8.01,33.59,5.8,110.96,10.54,84.7,9.21,95.04,9.76,11.53,3.4,4.25,2.06
11589,14.025353,55.8056242,1388395.9,6187724.3,1,1.02,57940,738.71,26.87,403.33,19.85,172.61,12.99,58.98,7.59,34.14,5.78,106.61,10.21,89.89,9.37,90.78,9.42,10.82,3.25,6.57,2.53
11590,14.025393,55.8055854,1388398.3,6187719.9,1,1.04,57945,756.07,26.97,397.53,19.56,174.43,12.95,52.92,7.14,34.55,5.77,100.2,9.82,93.15,9.47,89.34,9.27,10.55,3.19,9.31,2.99
11591,14.0254326,55.8055464,1388400.7,6187715.5,1,1.03,57950,780.36,27.48,397.42,19.61,168.51,12.77,46.95,6.74,34.98,5.82,92.84,9.48,91.79,9.43,91.21,9.4,11.11,3.28,10.33,3.16
11592,14.025472,55.8055074,1388403,6187711.1,1,1.01,57955,805.22,28.22,400.46,19.9,158.19,12.51,42.71,6.5,35.39,5.92,86.83,9.27,86.8,9.27,95.42,9.72,12.16,3.47,9.9,3.13
11593,14.0255112,55.8054683,1388405.4,6187706.7,1,0.99,57960,823.22,28.87,402.23,20.18,150.09,12.33,42.02,6.52,35.66,6.01,84.95,9.27,80.62,9.03,100.46,10.08,13.07,3.64,9.21,3.05
11594,14.0255502,55.8054291,1388407.7,6187702.3,1,0.98,57965,827.23,29.08,398.48,20.18,150.61,12.41,46.65,6.91,35.69,6.04,89.84,9.58,75.65,8.79,104.79,10.35,13.2,3.67,9.48,3.11
11595,14.0255891,55.8053899,1388410.1,6187697.8,1,0.98,57970,818.3,28.84,390.13,19.91,160.2,12.76,55.59,7.52,35.49,6,100.42,10.1,73.2,8.62,107.45,10.45,12.5,3.56,10.95,3.34
11596,14.0256281,55.8053508,1388412.4,6187693.4,1,1,57975,807.11,28.48,384.23,19.65,172.31,13.16,64.67,8.06,35.19,5.95,111.18,10.57,73.26,8.58,108.09,10.42,11.54,3.4,12.82,3.59
